icpsr_project_id,repo_doi,openicpsr_url,paper_title,journal,year
112844,10.3886/e112844v1,https://www.openicpsr.org/openicpsr/project/112844/version/V1/view,"Isolated Capital Cities, Accountability, and Corruption: Evidence from US States",American Economic Review,2014
112761,10.3886/e112761v1,https://www.openicpsr.org/openicpsr/project/112761/version/V1/view,"Stock Prices, News, and Economic Fluctuations: Comment",American Economic Review,2014
112753,10.3886/e112753v1,https://www.openicpsr.org/openicpsr/project/112753/version/V1/view,Misallocation and Growth,American Economic Review,2014
112752,10.3886/e112752v1,https://www.openicpsr.org/openicpsr/project/112752/version/V1/view,Vertical Integration and Input Flows,American Economic Review,2014
112747,10.3886/e112747v1,https://www.openicpsr.org/openicpsr/project/112747/version/V1/view,The Economics of Predation: What Drives Pricing When There Is Learning-by-Doing?,American Economic Review,2014
112737,10.3886/e112737v1,https://www.openicpsr.org/openicpsr/project/112737/version/V1/view,Time to Build and Fluctuations in Bulk Shipping,American Economic Review,2014
112733,10.3886/e112733v1,https://www.openicpsr.org/openicpsr/project/112733/version/V1/view,Finance and Misallocation: Evidence from Plant-Level Data,American Economic Review,2014
112718,10.3886/e112718v1,https://www.openicpsr.org/openicpsr/project/112718/version/V1/view,"Consume Now or Later? Time Inconsistency, Collective Choice, and Revealed Preference",American Economic Review,2014
112705,10.3886/e112705v1,https://www.openicpsr.org/openicpsr/project/112705/version/V1/view,Mismatch Unemployment,American Economic Review,2014
112704,10.3886/e112704v1,https://www.openicpsr.org/openicpsr/project/112704/version/V1/view,Can Marginal Rates of Substitution Be Inferred from Happiness Data? Evidence from Residency Choices,American Economic Review,2014
112700,10.3886/e112700v1,https://www.openicpsr.org/openicpsr/project/112700/version/V1/view,How Does Risk Selection Respond to Risk Adjustment? New Evidence from the Medicare Advantage Program,American Economic Review,2014
112699,10.3886/e112699v1,https://www.openicpsr.org/openicpsr/project/112699/version/V1/view,Private Equity Premium Puzzle Revisited,American Economic Review,2014
112698,10.3886/e112698v1,https://www.openicpsr.org/openicpsr/project/112698/version/V1/view,"Efficiency, Equality, and Labeling: An Experimental Investigation of Focal Points in Explicit Bargaining",American Economic Review,2014
112692,10.3886/e112692v1,https://www.openicpsr.org/openicpsr/project/112692/version/V1/view,The Short-Run and Long-Run Effects of Behavioral Interventions: Experimental Evidence from Energy Conservation,American Economic Review,2014
116540,10.3886/e116540v1,https://www.openicpsr.org/openicpsr/project/116540/version/V1/view,Long-Term Impacts of Individual Development Accounts on Homeownership among Baseline Renters: Follow-Up Evidence from a Randomized Experiment,American Economic Journal Economic Policy,2013
116116,10.3886/e116116v1,https://www.openicpsr.org/openicpsr/project/116116/version/V1/view,The Nature of Risk Preferences: Evidence from Insurance Choices,American Economic Review,2013
114839,10.3886/e114839v1,https://www.openicpsr.org/openicpsr/project/114839/version/V1/view,Superstar Cities,American Economic Journal Economic Policy,2013
114833,10.3886/e114833v1,https://www.openicpsr.org/openicpsr/project/114833/version/V1/view,The Welfare Effects of Misperceived Product Costs: Data and Calibrations from the Automobile Market,American Economic Journal Economic Policy,2013
114825,10.3886/e114825v1,https://www.openicpsr.org/openicpsr/project/114825/version/V1/view,Multi-Product Firms and Exchange Rate Fluctuations,American Economic Journal Economic Policy,2013
114818,10.3886/e114818v1,https://www.openicpsr.org/openicpsr/project/114818/version/V1/view,"The EITC, Tax Refunds, and Unemployment Spells",American Economic Journal Economic Policy,2013
114816,10.3886/e114816v1,https://www.openicpsr.org/openicpsr/project/114816/version/V1/view,How Do Mortgage Subsidies Affect Home Ownership? Evidence from the Mid-Century GI Bills,American Economic Journal Economic Policy,2013
114812,10.3886/e114812v1,https://www.openicpsr.org/openicpsr/project/114812/version/V1/view,Smoke Gets in Your Eyes: Cigarette Tax Salience and Regressivity,American Economic Journal Economic Policy,2013
114810,10.3886/e114810v1,https://www.openicpsr.org/openicpsr/project/114810/version/V1/view,The Price Effects of a Large Merger of Manufacturers: A Case Study of Maytag-Whirlpool,American Economic Journal Economic Policy,2013
114290,10.3886/e114290v1,https://www.openicpsr.org/openicpsr/project/114290/version/V1/view,Some Evidence on the Importance of Sticky Wages,American Economic Journal Macroeconomics,2013
114283,10.3886/e114283v1,https://www.openicpsr.org/openicpsr/project/114283/version/V1/view,Aggregate Implications of Lumpy Investment: New Evidence and a DSGE Model,American Economic Journal Macroeconomics,2013
114277,10.3886/e114277v1,https://www.openicpsr.org/openicpsr/project/114277/version/V1/view,Crises and Recoveries in an Empirical Model of Consumption Disasters,American Economic Journal Macroeconomics,2013
114271,10.3886/e114271v1,https://www.openicpsr.org/openicpsr/project/114271/version/V1/view,Capital-Skill Complementarity and the Skill Premium in a Quantitative Model of Trade,American Economic Journal Macroeconomics,2013
114269,10.3886/e114269v1,https://www.openicpsr.org/openicpsr/project/114269/version/V1/view,Uncertainty and Economic Activity: Evidence from Business Survey Data,American Economic Journal Macroeconomics,2013
113881,10.3886/e113881v1,https://www.openicpsr.org/openicpsr/project/113881/version/V1/view,"Small Steps for Workers, a Giant Leap for Productivity",American Economic Journal Applied Economics,2013
113875,10.3886/e113875v1,https://www.openicpsr.org/openicpsr/project/113875/version/V1/view,Child Gender and Parental Investments In India: Are Boys and Girls Treated Differently?,American Economic Journal Applied Economics,2013
113849,10.3886/e113849v1,https://www.openicpsr.org/openicpsr/project/113849/version/V1/view,Texting Bans and Fatal Accidents on Roadways: Do They Work? Or Do Drivers Just React to Announcements of Bans?,American Economic Journal Applied Economics,2013
112729,10.3886/e112729v1,https://www.openicpsr.org/openicpsr/project/112729/version/V1/view,Term Premia and Inflation Uncertainty: Empirical Evidence from an International Panel Dataset: Comment,American Economic Review,2013
112690,10.3886/e112690v1,https://www.openicpsr.org/openicpsr/project/112690/version/V1/view,"News, Noise, and Fluctuations: An Empirical Exploration",American Economic Review,2013
112687,10.3886/e112687v1,https://www.openicpsr.org/openicpsr/project/112687/version/V1/view,Vertical Integration and Exclusivity in Platform and Two-Sided Markets,American Economic Review,2013
112678,10.3886/e112678v1,https://www.openicpsr.org/openicpsr/project/112678/version/V1/view,News Shocks and the Slope of the Term Structure of Interest Rates,American Economic Review,2013
112676,10.3886/e112676v1,https://www.openicpsr.org/openicpsr/project/112676/version/V1/view,The Cost of Contract Renegotiation: Evidence from the Local Public Sector,American Economic Review,2013
112673,10.3886/e112673v1,https://www.openicpsr.org/openicpsr/project/112673/version/V1/view,How the West “Invented” Fertility Restriction,American Economic Review,2013
112663,10.3886/e112663v1,https://www.openicpsr.org/openicpsr/project/112663/version/V1/view,Regional Effects of Trade Reform: What is the Correct Measure of Liberalization?,American Economic Review,2013
112662,10.3886/e112662v1,https://www.openicpsr.org/openicpsr/project/112662/version/V1/view,"Immigration, Offshoring, and American Jobs",American Economic Review,2013
112657,10.3886/e112657v1,https://www.openicpsr.org/openicpsr/project/112657/version/V1/view,The Political Resource Curse,American Economic Review,2013
112655,10.3886/e112655v1,https://www.openicpsr.org/openicpsr/project/112655/version/V1/view,Time Use During the Great Recession,American Economic Review,2013
112647,10.3886/e112647v1,https://www.openicpsr.org/openicpsr/project/112647/version/V1/view,Preferences and Incentives of Appointed and Elected Public Officials: Evidence from State Trial Court Judges,American Economic Review,2013
112607,10.3886/e112607v1,https://www.openicpsr.org/openicpsr/project/112607/version/V1/view,Assessing the Incidence and Efficiency of a Prominent Place Based Policy,American Economic Review,2013
112599,10.3886/e112599v1,https://www.openicpsr.org/openicpsr/project/112599/version/V1/view,Self-Enforcing Trade Agreements: Evidence from Time-Varying Trade Policy,American Economic Review,2013
112595,10.3886/e112595v1,https://www.openicpsr.org/openicpsr/project/112595/version/V1/view,"Children's Resources in Collective Households: Identification, Estimation, and an Application to Child Poverty in Malawi",American Economic Review,2013
112591,10.3886/e112591v1,https://www.openicpsr.org/openicpsr/project/112591/version/V1/view,Innovation and Institutional Ownership,American Economic Review,2013
112586,10.3886/e112586v1,https://www.openicpsr.org/openicpsr/project/112586/version/V1/view,Price Discrimination and Bargaining: Empirical Evidence from Medical Devices,American Economic Review,2013
116539,10.3886/e116539v1,https://www.openicpsr.org/openicpsr/project/116539/version/V1/view,Inertia and Overwithholding: Explaining the Prevalence of Income Tax Refunds,American Economic Journal Economic Policy,2012
116112,10.3886/e116112v1,https://www.openicpsr.org/openicpsr/project/116112/version/V1/view,Life Insurance and Household Consumption,American Economic Review,2012
116107,10.3886/e116107v1,https://www.openicpsr.org/openicpsr/project/116107/version/V1/view,"Sinking, Swimming, or Learning to Swim in Medicare Part D",American Economic Review,2012
116105,10.3886/e116105v1,https://www.openicpsr.org/openicpsr/project/116105/version/V1/view,Durable Consumption and Asset Management with Transaction and Observation Costs,American Economic Review,2012
114804,10.3886/e114804v1,https://www.openicpsr.org/openicpsr/project/114804/version/V1/view,Framing Social Security Reform: Behavioral Responses to Changes in the Full Retirement Age,American Economic Journal Economic Policy,2012
114798,10.3886/e114798v1,https://www.openicpsr.org/openicpsr/project/114798/version/V1/view,Discrimination in Grading,American Economic Journal Economic Policy,2012
114793,10.3886/e114793v1,https://www.openicpsr.org/openicpsr/project/114793/version/V1/view,Fiscal Spending Jobs Multipliers: Evidence from the 2009 American Recovery and Reinvestment Act,American Economic Journal Economic Policy,2012
114785,10.3886/e114785v1,https://www.openicpsr.org/openicpsr/project/114785/version/V1/view,Fiscal Policy Multipliers on Subnational Government Spending,American Economic Journal Economic Policy,2012
114783,10.3886/e114783v1,https://www.openicpsr.org/openicpsr/project/114783/version/V1/view,Measuring the Output Responses to Fiscal Policy,American Economic Journal Economic Policy,2012
114776,10.3886/e114776v1,https://www.openicpsr.org/openicpsr/project/114776/version/V1/view,"Income Taxes, Compensating Differentials, and Occupational Choice: How Taxes Distort the Wage-Amenity Decision",American Economic Journal Economic Policy,2012
114774,10.3886/e114774v1,https://www.openicpsr.org/openicpsr/project/114774/version/V1/view,Will There Be Blood? Incentives and Displacement Effects in Pro-Social Behavior,American Economic Journal Economic Policy,2012
114398,10.3886/e114398v1,https://www.openicpsr.org/openicpsr/project/114398/version/V1/view,Competition and the Strategic Choices of Churches,American Economic Journal Microeconomics,2012
114252,10.3886/e114252v1,https://www.openicpsr.org/openicpsr/project/114252/version/V1/view,"Social Security Reforms: Benefit Claiming, Labor Force Participation, and Long-run Sustainability",American Economic Journal Macroeconomics,2012
114251,10.3886/e114251v1,https://www.openicpsr.org/openicpsr/project/114251/version/V1/view,Temperature Shocks and Economic Growth: Evidence from the Last Half Century,American Economic Journal Macroeconomics,2012
114250,10.3886/e114250v1,https://www.openicpsr.org/openicpsr/project/114250/version/V1/view,Ambiguity Aversion: Implications for the Uncovered Interest Rate Parity Puzzle,American Economic Journal Macroeconomics,2012
114244,10.3886/e114244v1,https://www.openicpsr.org/openicpsr/project/114244/version/V1/view,How Important is Technology Capital for the United States?,American Economic Journal Macroeconomics,2012
114237,10.3886/e114237v1,https://www.openicpsr.org/openicpsr/project/114237/version/V1/view,Stories of the Twentieth Century for the Twenty-First,American Economic Journal Macroeconomics,2012
114235,10.3886/e114235v1,https://www.openicpsr.org/openicpsr/project/114235/version/V1/view,International Portfolio Allocation under Model Uncertainty,American Economic Journal Macroeconomics,2012
113838,10.3886/e113838v1,https://www.openicpsr.org/openicpsr/project/113838/version/V1/view,Estimating the Deterrent Effect of Incarceration Using Sentencing Enhancements,American Economic Journal Applied Economics,2012
113835,10.3886/e113835v1,https://www.openicpsr.org/openicpsr/project/113835/version/V1/view,Soap Operas and Fertility: Evidence from Brazil,American Economic Journal Applied Economics,2012
113832,10.3886/e113832v1,https://www.openicpsr.org/openicpsr/project/113832/version/V1/view,"Longer-Term Impacts of Mentoring, Educational Services, and Learning Incentives: Evidence from a Randomized Trial in the United States",American Economic Journal Applied Economics,2012
113827,10.3886/e113827v1,https://www.openicpsr.org/openicpsr/project/113827/version/V1/view,The Opt-In Revolution? Contraception and the Gender Gap in Wages,American Economic Journal Applied Economics,2012
113823,10.3886/e113823v1,https://www.openicpsr.org/openicpsr/project/113823/version/V1/view,High Unemployment Yet Few Small Firms: The Role of Centralized Bargaining in South Africa,American Economic Journal Applied Economics,2012
113820,10.3886/e113820v1,https://www.openicpsr.org/openicpsr/project/113820/version/V1/view,What Makes Firm-based Vocational Training Schemes Successful? The Role of Commitment,American Economic Journal Applied Economics,2012
113809,10.3886/e113809v1,https://www.openicpsr.org/openicpsr/project/113809/version/V1/view,Are Female Leaders Good for Education? Evidence from India,American Economic Journal Applied Economics,2012
112575,10.3886/e112575v1,https://www.openicpsr.org/openicpsr/project/112575/version/V1/view,Human Capital Investment and the Gender Division of Labor in a Brawn-Based Economy,American Economic Review,2012
112574,10.3886/e112574v1,https://www.openicpsr.org/openicpsr/project/112574/version/V1/view,Political Aid Cycles,American Economic Review,2012
112562,10.3886/e112562v1,https://www.openicpsr.org/openicpsr/project/112562/version/V1/view,Inequality at Work: The Effect of Peer Salaries on Job Satisfaction,American Economic Review,2012
112561,10.3886/e112561v1,https://www.openicpsr.org/openicpsr/project/112561/version/V1/view,Testing Models of Consumer Search Using Data on Web Browsing and Purchasing Behavior,American Economic Review,2012
112544,10.3886/e112544v1,https://www.openicpsr.org/openicpsr/project/112544/version/V1/view,Katrina's Children: Evidence on the Structure of Peer Effects from Hurricane Evacuees,American Economic Review,2012
112525,10.3886/e112525v1,https://www.openicpsr.org/openicpsr/project/112525/version/V1/view,"Information, Animal Spirits, and the Meaning of Innovations in Consumer Confidence",American Economic Review,2012
